DATE,DAY_OF_THE_WEEK,TTS,TTB,TTM
2020-01-01 00:00:00,Wednesday,,,
2020-01-02 00:00:00,Thursday,,,
2020-01-03 00:00:00,Friday,,,
2020-01-04 00:00:00,Saturday,,,
2020-01-05 00:00:00,Sunday,,,
2020-01-06 00:00:00,Monday,109.11,107.11,108.11
2020-01-07 00:00:00,Thuesday,109.44,107.44,108.44
2020-01-08 00:00:00,Wednesday,108.83,106.83,107.83
2020-01-09 00:00:00,Thursday,110.24,108.24,109.24
2020-01-10 00:00:00,Friday,110.57,108.57,109.57
2020-01-11 00:00:00,Saturday,,,
2020-01-12 00:00:00,Sunday,,,
2020-01-13 00:00:00,Monday,,,
2020-01-14 00:00:00,Thuesday,111.16,109.16,110.16
2020-01-15 00:00:00,Wednesday,110.95,108.95,109.95
2020-01-16 00:00:00,Thursday,110.95,108.95,109.95
2020-01-17 00:00:00,Friday,111.33,109.33,110.33
2020-01-18 00:00:00,Saturday,,,
2020-01-19 00:00:00,Sunday,,,
2020-01-20 00:00:00,Monday,111.19,109.19,110.19
2020-01-21 00:00:00,Thuesday,111.24,109.24,110.24
2020-01-22 00:00:00,Wednesday,110.91,108.91,109.91
2020-01-23 00:00:00,Thursday,110.72,108.72,109.72
2020-01-24 00:00:00,Friday,110.59,108.59,109.59
2020-01-25 00:00:00,Saturday,,,
2020-01-26 00:00:00,Sunday,,,
2020-01-27 00:00:00,Monday,110.06,108.06,109.06
2020-01-28 00:00:00,Thuesday,109.87,107.87,108.87
2020-01-29 00:00:00,Wednesday,110.08,108.08,109.08
2020-01-30 00:00:00,Thursday,110.01,108.01,109.01
2020-01-31 00:00:00,Friday,110.06,108.06,109.06
2020-02-01 00:00:00,Saturday,,,
2020-02-02 00:00:00,Sunday,,,
2020-02-03 00:00:00,Monday,109.52,107.52,108.52
2020-02-04 00:00:00,Thuesday,109.61,107.61,108.61
2020-02-05 00:00:00,Wednesday,110.46,108.46,109.46
2020-02-06 00:00:00,Thursday,110.86,108.86,109.86
2020-02-07 00:00:00,Friday,110.92,108.92,109.92
2020-02-08 00:00:00,Saturday,,,
2020-02-09 00:00:00,Sunday,,,
2020-02-10 00:00:00,Monday,110.67,108.67,109.67
2020-02-11 00:00:00,Thuesday,,,
2020-02-12 00:00:00,Wednesday,110.85,108.85,109.85
2020-02-13 00:00:00,Thursday,110.91,108.91,109.91
2020-02-14 00:00:00,Friday,110.89,108.89,109.89
2020-02-15 00:00:00,Saturday,,,
2020-02-16 00:00:00,Sunday,,,
2020-02-17 00:00:00,Monday,110.8,108.8,109.8
2020-02-18 00:00:00,Thuesday,110.86,108.86,109.86
2020-02-19 00:00:00,Wednesday,110.94,108.94,109.94
2020-02-20 00:00:00,Thursday,112.28,110.28,111.28
2020-02-21 00:00:00,Friday,113.11,111.11,112.11
2020-02-22 00:00:00,Saturday,,,
2020-02-23 00:00:00,Sunday,,,
2020-02-24 00:00:00,Monday,,,
2020-02-25 00:00:00,Thuesday,111.91,109.91,110.91
2020-02-26 00:00:00,Wednesday,111.31,109.31,110.31
2020-02-27 00:00:00,Thursday,111.32,109.32,110.32
2020-02-28 00:00:00,Friday,110.43,108.43,109.43
2020-02-29 00:00:00,Saturday,,,
2020-03-01 00:00:00,Sunday,,,
2020-03-02 00:00:00,Monday,108.66,106.66,107.66
2020-03-03 00:00:00,Thuesday,109.24,107.24,108.24
2020-03-04 00:00:00,Wednesday,108.36,106.36,107.36
2020-03-05 00:00:00,Thursday,108.53,106.53,107.53
2020-03-06 00:00:00,Friday,107.25,105.25,106.25
2020-03-07 00:00:00,Saturday,,,
2020-03-08 00:00:00,Sunday,,,
2020-03-09 00:00:00,Monday,103.01,101.01,102.01
2020-03-10 00:00:00,Thuesday,104.28,102.28,103.28
2020-03-11 00:00:00,Wednesday,105.88,103.88,104.88
2020-03-12 00:00:00,Thursday,105.6,103.6,104.6
2020-03-13 00:00:00,Friday,106.17,104.17,105.17
2020-03-14 00:00:00,Saturday,,,
2020-03-15 00:00:00,Sunday,,,
2020-03-16 00:00:00,Monday,107.91,105.91,106.91
2020-03-17 00:00:00,Thuesday,107.6,105.6,106.6
2020-03-18 00:00:00,Wednesday,108.39,106.39,107.39
2020-03-19 00:00:00,Thursday,109.98,107.98,108.98
2020-03-20 00:00:00,Friday,,,
2020-03-21 00:00:00,Saturday,,,
2020-03-22 00:00:00,Sunday,,,
2020-03-23 00:00:00,Monday,111.82,109.82,110.82
2020-03-24 00:00:00,Thuesday,111.63,109.63,110.63
2020-03-25 00:00:00,Wednesday,112.16,110.16,111.16
2020-03-26 00:00:00,Thursday,111.77,109.77,110.77
2020-03-27 00:00:00,Friday,109.95,107.95,108.95
2020-03-28 00:00:00,Saturday,,,
2020-03-29 00:00:00,Sunday,,,
2020-03-30 00:00:00,Monday,108.68,106.68,107.68
2020-03-31 00:00:00,Thuesday,109.83,107.83,108.83
2020-04-01 00:00:00,Wednesday,108.59,106.59,107.59
2020-04-02 00:00:00,Thursday,108.5,106.5,107.5
2020-04-03 00:00:00,Friday,109.11,107.11,108.11
2020-04-04 00:00:00,Saturday,,,
2020-04-05 00:00:00,Sunday,,,
2020-04-06 00:00:00,Monday,109.96,107.96,108.96
2020-04-07 00:00:00,Thuesday,110.1,108.1,109.1
2020-04-08 00:00:00,Wednesday,109.67,107.67,108.67
2020-04-09 00:00:00,Thursday,110.07,108.07,109.07
2020-04-10 00:00:00,Friday,109.61,107.61,108.61
2020-04-11 00:00:00,Saturday,,,
2020-04-12 00:00:00,Sunday,,,
2020-04-13 00:00:00,Monday,109.23,107.23,108.23
2020-04-14 00:00:00,Thuesday,108.63,106.63,107.63
2020-04-15 00:00:00,Wednesday,108.18,106.18,107.18
2020-04-16 00:00:00,Thursday,108.7,106.7,107.7
2020-04-17 00:00:00,Friday,108.94,106.94,107.94
2020-04-18 00:00:00,Saturday,,,
2020-04-19 00:00:00,Sunday,,,
2020-04-20 00:00:00,Monday,108.89,106.89,107.89
2020-04-21 00:00:00,Thuesday,108.81,106.81,107.81
2020-04-22 00:00:00,Wednesday,108.86,106.86,107.86
2020-04-23 00:00:00,Thursday,108.83,106.83,107.83
2020-04-24 00:00:00,Friday,108.73,106.73,107.73
2020-04-25 00:00:00,Saturday,,,
2020-04-26 00:00:00,Sunday,,,
2020-04-27 00:00:00,Monday,108.6,106.6,107.6
2020-04-28 00:00:00,Thuesday,108.3,106.3,107.3
2020-04-29 00:00:00,Wednesday,,,
2020-04-30 00:00:00,Thursday,107.87,105.87,106.87
2020-05-01 00:00:00,Friday,108.28,106.28,107.28
2020-05-02 00:00:00,Saturday,,,
2020-05-03 00:00:00,Sunday,,,
2020-05-04 00:00:00,Monday,,,
2020-05-05 00:00:00,Thuesday,,,
2020-05-06 00:00:00,Wednesday,,,
2020-05-07 00:00:00,Thursday,107.27,105.27,106.27
2020-05-08 00:00:00,Friday,107.36,105.36,106.36
2020-05-09 00:00:00,Saturday,,,
2020-05-10 00:00:00,Sunday,,,
2020-05-11 00:00:00,Monday,107.95,105.95,106.95
2020-05-12 00:00:00,Thuesday,108.52,106.52,107.52
2020-05-13 00:00:00,Wednesday,108.15,106.15,107.15
2020-05-14 00:00:00,Thursday,107.89,105.89,106.89
2020-05-15 00:00:00,Friday,108.43,106.43,107.43
2020-05-16 00:00:00,Saturday,,,
2020-05-17 00:00:00,Sunday,,,
2020-05-18 00:00:00,Monday,108.19,106.19,107.19
2020-05-19 00:00:00,Thuesday,108.35,106.35,107.35
2020-05-20 00:00:00,Wednesday,108.98,106.98,107.98
2020-05-21 00:00:00,Thursday,108.75,106.75,107.75
2020-05-22 00:00:00,Friday,108.75,106.75,107.75
2020-05-23 00:00:00,Saturday,,,
2020-05-24 00:00:00,Sunday,,,
2020-05-25 00:00:00,Monday,108.65,106.65,107.65
2020-05-26 00:00:00,Thuesday,108.77,106.77,107.77
2020-05-27 00:00:00,Wednesday,108.51,106.51,107.51
2020-05-28 00:00:00,Thursday,108.92,106.92,107.92
2020-05-29 00:00:00,Friday,108.53,106.53,107.53
2020-05-30 00:00:00,Saturday,,,
2020-05-31 00:00:00,Sunday,,,
2020-06-01 00:00:00,Monday,108.74,106.74,107.74
2020-06-02 00:00:00,Thuesday,108.58,106.58,107.58
2020-06-03 00:00:00,Wednesday,109.72,107.72,108.72
2020-06-04 00:00:00,Thursday,109.88,107.88,108.88
2020-06-05 00:00:00,Friday,110.09,108.09,109.09
2020-06-06 00:00:00,Saturday,,,
2020-06-07 00:00:00,Sunday,,,
2020-06-08 00:00:00,Monday,110.48,108.48,109.48
2020-06-09 00:00:00,Thuesday,109.08,107.08,108.08
2020-06-10 00:00:00,Wednesday,108.79,106.79,107.79
2020-06-11 00:00:00,Thursday,108.01,106.01,107.01
2020-06-12 00:00:00,Friday,107.69,105.69,106.69
2020-06-13 00:00:00,Saturday,,,
2020-06-14 00:00:00,Sunday,,,
2020-06-15 00:00:00,Monday,108.24,106.24,107.24
2020-06-16 00:00:00,Thuesday,108.32,106.32,107.32
2020-06-17 00:00:00,Wednesday,108.35,106.35,107.35
2020-06-18 00:00:00,Thursday,107.78,105.78,106.78
2020-06-19 00:00:00,Friday,107.95,105.95,106.95
2020-06-20 00:00:00,Saturday,,,
2020-06-21 00:00:00,Sunday,,,
2020-06-22 00:00:00,Monday,107.77,105.77,106.77
2020-06-23 00:00:00,Thuesday,107.96,105.96,106.96
2020-06-24 00:00:00,Wednesday,107.52,105.52,106.52
2020-06-25 00:00:00,Thursday,108.06,106.06,107.06
2020-06-26 00:00:00,Friday,108.12,106.12,107.12
2020-06-27 00:00:00,Saturday,,,
2020-06-28 00:00:00,Sunday,,,
2020-06-29 00:00:00,Monday,108.24,106.24,107.24
2020-06-30 00:00:00,Thuesday,108.74,106.74,107.74
2020-07-01 00:00:00,Wednesday,109.12,107.12,108.12
2020-07-02 00:00:00,Thursday,108.49,106.49,107.49
2020-07-03 00:00:00,Friday,108.54,106.54,107.54
2020-07-04 00:00:00,Saturday,,,
2020-07-05 00:00:00,Sunday,,,
2020-07-06 00:00:00,Monday,108.65,106.65,107.65
2020-07-07 00:00:00,Thuesday,108.3,106.3,107.3
2020-07-08 00:00:00,Wednesday,108.69,106.69,107.69
2020-07-09 00:00:00,Thursday,108.31,106.31,107.31
2020-07-10 00:00:00,Friday,108.13,106.13,107.13
2020-07-11 00:00:00,Saturday,,,
2020-07-12 00:00:00,Sunday,,,
2020-07-13 00:00:00,Monday,107.84,105.84,106.84
2020-07-14 00:00:00,Thuesday,108.27,106.27,107.27
2020-07-15 00:00:00,Wednesday,108.3,106.3,107.3
2020-07-16 00:00:00,Thursday,107.99,105.99,106.99
2020-07-17 00:00:00,Friday,108.28,106.28,107.28
2020-07-18 00:00:00,Saturday,,,
2020-07-19 00:00:00,Sunday,,,
2020-07-20 00:00:00,Monday,108.52,106.52,107.52
2020-07-21 00:00:00,Thuesday,108.25,106.25,107.25
2020-07-22 00:00:00,Wednesday,107.89,105.89,106.89
2020-07-23 00:00:00,Thursday,,,
2020-07-24 00:00:00,Friday,,,
2020-07-25 00:00:00,Saturday,,,
2020-07-26 00:00:00,Sunday,,,
2020-07-27 00:00:00,Monday,106.82,104.82,105.82
2020-07-28 00:00:00,Thuesday,106.34,104.34,105.34
2020-07-29 00:00:00,Wednesday,106.14,104.14,105.14
2020-07-30 00:00:00,Thursday,106.09,104.09,105.09
2020-07-31 00:00:00,Friday,105.6,103.6,104.6
2020-08-01 00:00:00,Saturday,,,
2020-08-02 00:00:00,Sunday,,,
2020-08-03 00:00:00,Monday,107.13,105.13,106.13
2020-08-04 00:00:00,Thuesday,107.13,105.13,106.13
2020-08-05 00:00:00,Wednesday,106.61,104.61,105.61
2020-08-06 00:00:00,Thursday,106.51,104.51,105.51
2020-08-07 00:00:00,Friday,106.59,104.59,105.59
2020-08-08 00:00:00,Saturday,,,
2020-08-09 00:00:00,Sunday,,,
2020-08-10 00:00:00,Monday,,,
2020-08-11 00:00:00,Thuesday,107.17,105.17,106.17
2020-08-12 00:00:00,Wednesday,107.57,105.57,106.57
2020-08-13 00:00:00,Thursday,107.71,105.71,106.71
2020-08-14 00:00:00,Friday,107.98,105.98,106.98
2020-08-15 00:00:00,Saturday,,,
2020-08-16 00:00:00,Sunday,,,
2020-08-17 00:00:00,Monday,107.55,105.55,106.55
2020-08-18 00:00:00,Thuesday,106.82,104.82,105.82
2020-08-19 00:00:00,Wednesday,106.19,104.19,105.19
2020-08-20 00:00:00,Thursday,107.09,105.09,106.09
2020-08-21 00:00:00,Friday,106.7,104.7,105.7
2020-08-22 00:00:00,Saturday,,,
2020-08-23 00:00:00,Sunday,,,
2020-08-24 00:00:00,Monday,106.8,104.8,105.8
2020-08-25 00:00:00,Thuesday,107.01,105.01,106.01
2020-08-26 00:00:00,Wednesday,107.46,105.46,106.46
2020-08-27 00:00:00,Thursday,106.93,104.93,105.93
2020-08-28 00:00:00,Friday,107.66,105.66,106.66
2020-08-29 00:00:00,Saturday,,,
2020-08-30 00:00:00,Sunday,,,
2020-08-31 00:00:00,Monday,106.36,104.36,105.36
2020-09-01 00:00:00,Thuesday,106.89,104.89,105.89
2020-09-02 00:00:00,Wednesday,107.02,105.02,106.02
2020-09-03 00:00:00,Thursday,107.24,105.24,106.24
2020-09-04 00:00:00,Friday,107.16,105.16,106.16
2020-09-05 00:00:00,Saturday,,,
2020-09-06 00:00:00,Sunday,,,
2020-09-07 00:00:00,Monday,107.36,105.36,106.36
2020-09-08 00:00:00,Thuesday,107.31,105.31,106.31
2020-09-09 00:00:00,Wednesday,106.99,104.99,105.99
2020-09-10 00:00:00,Thursday,107.22,105.22,106.22
2020-09-11 00:00:00,Friday,107.16,105.16,106.16
2020-09-12 00:00:00,Saturday,,,
2020-09-13 00:00:00,Sunday,,,
2020-09-14 00:00:00,Monday,107.18,105.18,106.18
2020-09-15 00:00:00,Thuesday,106.74,104.74,105.74
2020-09-16 00:00:00,Wednesday,106.38,104.38,105.38
2020-09-17 00:00:00,Thursday,106.07,104.07,105.07
2020-09-18 00:00:00,Friday,105.84,103.84,104.84
2020-09-19 00:00:00,Saturday,,,
2020-09-20 00:00:00,Sunday,,,
2020-09-21 00:00:00,Monday,,,
2020-09-22 00:00:00,Thuesday,,,
2020-09-23 00:00:00,Wednesday,106.14,104.14,105.14
2020-09-24 00:00:00,Thursday,106.45,104.45,105.45
2020-09-25 00:00:00,Friday,106.56,104.56,105.56
2020-09-26 00:00:00,Saturday,,,
2020-09-27 00:00:00,Sunday,,,
2020-09-28 00:00:00,Monday,106.37,104.37,105.37
2020-09-29 00:00:00,Thuesday,106.35,104.35,105.35
2020-09-30 00:00:00,Wednesday,106.8,104.8,105.8
2020-10-01 00:00:00,Thursday,106.55,104.55,105.55
2020-10-02 00:00:00,Friday,106.56,104.56,105.56
2020-10-03 00:00:00,Saturday,,,
2020-10-04 00:00:00,Sunday,,,
2020-10-05 00:00:00,Monday,106.59,104.59,105.59
2020-10-06 00:00:00,Thuesday,106.66,104.66,105.66
2020-10-07 00:00:00,Wednesday,106.68,104.68,105.68
2020-10-08 00:00:00,Thursday,107.07,105.07,106.07
2020-10-09 00:00:00,Friday,106.98,104.98,105.98
2020-10-10 00:00:00,Saturday,,,
2020-10-11 00:00:00,Sunday,,,
2020-10-12 00:00:00,Monday,106.66,104.66,105.66
2020-10-13 00:00:00,Thuesday,106.36,104.36,105.36
2020-10-14 00:00:00,Wednesday,106.43,104.43,105.43
2020-10-15 00:00:00,Thursday,106.26,104.26,105.26
2020-10-16 00:00:00,Friday,106.36,104.36,105.36
2020-10-17 00:00:00,Saturday,,,
2020-10-18 00:00:00,Sunday,,,
2020-10-19 00:00:00,Monday,106.4,104.4,105.4
2020-10-20 00:00:00,Thuesday,106.59,104.59,105.59
2020-10-21 00:00:00,Wednesday,106.41,104.41,105.41
2020-10-22 00:00:00,Thursday,105.64,103.64,104.64
2020-10-23 00:00:00,Friday,105.7,103.7,104.7
2020-10-24 00:00:00,Saturday,,,
2020-10-25 00:00:00,Sunday,,,
2020-10-26 00:00:00,Monday,105.7,103.7,104.7
2020-10-27 00:00:00,Thuesday,105.81,103.81,104.81
2020-10-28 00:00:00,Wednesday,105.45,103.45,104.45
2020-10-29 00:00:00,Thursday,105.4,103.4,104.4
2020-10-30 00:00:00,Friday,105.6,103.6,104.6
2020-10-31 00:00:00,Saturday,,,
2020-11-01 00:00:00,Sunday,,,
2020-11-02 00:00:00,Monday,105.76,103.76,104.76
2020-11-03 00:00:00,Thuesday,,,
2020-11-04 00:00:00,Wednesday,105.55,103.55,104.55
2020-11-05 00:00:00,Thursday,105.29,103.29,104.29
2020-11-06 00:00:00,Friday,104.7,102.7,103.7
2020-11-07 00:00:00,Saturday,,,
2020-11-08 00:00:00,Sunday,,,
2020-11-09 00:00:00,Monday,104.35,102.35,103.35
2020-11-10 00:00:00,Thuesday,106.21,104.21,105.21
2020-11-11 00:00:00,Wednesday,106.15,104.15,105.15
2020-11-12 00:00:00,Thursday,106.42,104.42,105.42
2020-11-13 00:00:00,Friday,105.99,103.99,104.99
2020-11-14 00:00:00,Saturday,,,
2020-11-15 00:00:00,Sunday,,,
2020-11-16 00:00:00,Monday,105.69,103.69,104.69
2020-11-17 00:00:00,Thuesday,105.48,103.48,104.48
2020-11-18 00:00:00,Wednesday,105.09,103.09,104.09
2020-11-19 00:00:00,Thursday,104.87,102.87,103.87
2020-11-20 00:00:00,Friday,104.88,102.88,103.88
2020-11-21 00:00:00,Saturday,,,
2020-11-22 00:00:00,Sunday,,,
2020-11-23 00:00:00,Monday,,,
2020-11-24 00:00:00,Thuesday,105.58,103.58,104.58
2020-11-25 00:00:00,Wednesday,105.49,103.49,104.49
2020-11-26 00:00:00,Thursday,105.34,103.34,104.34
2020-11-27 00:00:00,Friday,105.15,103.15,104.15
2020-11-28 00:00:00,Saturday,,,
2020-11-29 00:00:00,Sunday,,,
2020-11-30 00:00:00,Monday,104.89,102.89,103.89
2020-12-01 00:00:00,Thuesday,105.26,103.26,104.26
2020-12-02 00:00:00,Wednesday,105.35,103.35,104.35
2020-12-03 00:00:00,Thursday,105.49,103.49,104.49
2020-12-04 00:00:00,Friday,104.83,102.83,103.83
2020-12-05 00:00:00,Saturday,,,
2020-12-06 00:00:00,Sunday,,,
2020-12-07 00:00:00,Monday,105.08,103.08,104.08
2020-12-08 00:00:00,Thuesday,105.09,103.09,104.09
2020-12-09 00:00:00,Wednesday,105.16,103.16,104.16
2020-12-10 00:00:00,Thursday,105.28,103.28,104.28
2020-12-11 00:00:00,Friday,105.01,103.01,104.01
2020-12-12 00:00:00,Saturday,,,
2020-12-13 00:00:00,Sunday,,,
2020-12-14 00:00:00,Monday,105.04,103.04,104.04
2020-12-15 00:00:00,Thuesday,105.12,103.12,104.12
2020-12-16 00:00:00,Wednesday,104.73,102.73,103.73
2020-12-17 00:00:00,Thursday,104.44,102.44,103.44
2020-12-18 00:00:00,Friday,104.26,102.26,103.26
2020-12-19 00:00:00,Saturday,,,
2020-12-20 00:00:00,Sunday,,,
2020-12-21 00:00:00,Monday,104.4,102.4,103.4
2020-12-22 00:00:00,Thuesday,104.34,102.34,103.34
2020-12-23 00:00:00,Wednesday,104.65,102.65,103.65
2020-12-24 00:00:00,Thursday,104.63,102.63,103.63
2020-12-25 00:00:00,Friday,104.48,102.48,103.48
2020-12-26 00:00:00,Saturday,,,
2020-12-27 00:00:00,Sunday,,,
2020-12-28 00:00:00,Monday,104.62,102.62,103.62
2020-12-29 00:00:00,Thuesday,104.82,102.82,103.82
2020-12-30 00:00:00,Wednesday,104.5,102.5,103.5
2020-12-31 00:00:00,Thursday,,,
2021-01-01 00:00:00,Friday,,,
2021-01-02 00:00:00,Saturday,,,
2021-01-03 00:00:00,Sunday,,,
2021-01-04 00:00:00,Monday,104.08,102.08,103.08
2021-01-05 00:00:00,Thuesday,104.15,102.15,103.15
2021-01-06 00:00:00,Wednesday,103.68,101.68,102.68
2021-01-07 00:00:00,Thursday,103.99,101.99,102.99
2021-01-08 00:00:00,Friday,104.85,102.85,103.85
2021-01-09 00:00:00,Saturday,,,
2021-01-10 00:00:00,Sunday,,,
2021-01-11 00:00:00,Monday,,,
2021-01-12 00:00:00,Thuesday,105.23,103.23,104.23
2021-01-13 00:00:00,Wednesday,104.68,102.68,103.68
2021-01-14 00:00:00,Thursday,104.95,102.95,103.95
2021-01-15 00:00:00,Friday,104.84,102.84,103.84
2021-01-16 00:00:00,Saturday,,,
2021-01-17 00:00:00,Sunday,,,
2021-01-18 00:00:00,Monday,104.83,102.83,103.83
2021-01-19 00:00:00,Thuesday,104.74,102.74,103.74
2021-01-20 00:00:00,Wednesday,104.93,102.93,103.93
2021-01-21 00:00:00,Thursday,104.61,102.61,103.61
2021-01-22 00:00:00,Friday,104.53,102.53,103.53
2021-01-23 00:00:00,Saturday,,,
2021-01-24 00:00:00,Sunday,,,
2021-01-25 00:00:00,Monday,104.84,102.84,103.84
2021-01-26 00:00:00,Thuesday,104.77,102.77,103.77
2021-01-27 00:00:00,Wednesday,104.68,102.68,103.68
2021-01-28 00:00:00,Thursday,105.27,103.27,104.27
2021-01-29 00:00:00,Friday,105.48,103.48,104.48
2021-01-30 00:00:00,Saturday,,,
2021-01-31 00:00:00,Sunday,,,
2021-02-01 00:00:00,Monday,105.69,103.69,104.69
2021-02-02 00:00:00,Thuesday,105.89,103.89,104.89
2021-02-03 00:00:00,Wednesday,106.01,104.01,105.01
2021-02-04 00:00:00,Thursday,106.02,104.02,105.02
2021-02-05 00:00:00,Friday,106.54,104.54,105.54
2021-02-06 00:00:00,Saturday,,,
2021-02-07 00:00:00,Sunday,,,
2021-02-08 00:00:00,Monday,106.54,104.54,105.54
2021-02-09 00:00:00,Thuesday,106.18,104.18,105.18
2021-02-10 00:00:00,Wednesday,105.62,103.62,104.62
2021-02-11 00:00:00,Thursday,,,
2021-02-12 00:00:00,Friday,105.74,103.74,104.74
2021-02-13 00:00:00,Saturday,,,
2021-02-14 00:00:00,Sunday,,,
2021-02-15 00:00:00,Monday,106.12,104.12,105.12
2021-02-16 00:00:00,Thuesday,106.49,104.49,105.49
2021-02-17 00:00:00,Wednesday,107.17,105.17,106.17
2021-02-18 00:00:00,Thursday,106.74,104.74,105.74
2021-02-19 00:00:00,Friday,106.72,104.72,105.72
2021-02-20 00:00:00,Saturday,,,
2021-02-21 00:00:00,Sunday,,,
2021-02-22 00:00:00,Monday,106.5,104.5,105.5
2021-02-23 00:00:00,Thuesday,,,
2021-02-24 00:00:00,Wednesday,106.41,104.41,105.41
2021-02-25 00:00:00,Thursday,107.06,105.06,106.06
2021-02-26 00:00:00,Friday,107.25,105.25,106.25
2021-02-27 00:00:00,Saturday,,,
2021-02-28 00:00:00,Sunday,,,
2021-03-01 00:00:00,Monday,107.49,105.49,106.49
2021-03-02 00:00:00,Thuesday,107.87,105.87,106.87
2021-03-03 00:00:00,Wednesday,107.78,105.78,106.78
2021-03-04 00:00:00,Thursday,107.99,105.99,106.99
2021-03-05 00:00:00,Friday,108.9,106.9,107.9
2021-03-06 00:00:00,Saturday,,,
2021-03-07 00:00:00,Sunday,,,
2021-03-08 00:00:00,Monday,109.37,107.37,108.37
2021-03-09 00:00:00,Thuesday,110.13,108.13,109.13
2021-03-10 00:00:00,Wednesday,109.57,107.57,108.57
2021-03-11 00:00:00,Thursday,109.52,107.52,108.52
2021-03-12 00:00:00,Friday,109.61,107.61,108.61
2021-03-13 00:00:00,Saturday,,,
2021-03-14 00:00:00,Sunday,,,
2021-03-15 00:00:00,Monday,110.06,108.06,109.06
2021-03-16 00:00:00,Thuesday,110.25,108.25,109.25
2021-03-17 00:00:00,Wednesday,110.14,108.14,109.14
2021-03-18 00:00:00,Thursday,109.97,107.97,108.97
2021-03-19 00:00:00,Friday,110.1,108.1,109.1
2021-03-20 00:00:00,Saturday,,,
2021-03-21 00:00:00,Sunday,,,
2021-03-22 00:00:00,Monday,109.91,107.91,108.91
2021-03-23 00:00:00,Thuesday,109.86,107.86,108.86
2021-03-24 00:00:00,Wednesday,109.64,107.64,108.64
2021-03-25 00:00:00,Thursday,109.88,107.88,108.88
2021-03-26 00:00:00,Friday,110.31,108.31,109.31
2021-03-27 00:00:00,Saturday,,,
2021-03-28 00:00:00,Sunday,,,
2021-03-29 00:00:00,Monday,110.63,108.63,109.63
2021-03-30 00:00:00,Thuesday,110.86,108.86,109.86
2021-03-31 00:00:00,Wednesday,111.71,109.71,110.71
